image_id,iou,dice,precision,recall,f1,pixel_accuracy,hausdorff_distance,per_tooth_metrics,category
000353,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000356,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000365,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000369,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000372,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000378,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000384,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000390,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000391,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000422,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000435,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000440,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000442,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
